Timestamp,OAT,Success,Quote,Observations,Regular_Quote,Difference
1633991729,-185959,true,8400536475,22,8524077788,123541313
1633991866,-185961,true,8398856620,22,8522373228,123516608
1633991914,-185961,true,8398856620,22,8521521076,122664456
1633992043,-185955,true,8403897194,22,8541142149,137244955
1633992121,-185947,true,8410622665,22,8557384933,146762268
1633992184,-185946,true,8411463727,22,8569373062,157909335
1633992313,-185945,true,8412304874,22,8592540473,180235599
1633992334,-185939,true,8417353519,22,8596837602,179484083
1633992371,-185933,true,8422405194,22,8601996995,179591801
1633992429,-185933,true,8422405194,22,8608881001,186475807
1633992445,-185934,true,8421563037,22,8611463924,189900887
1633992523,-185928,true,8426617239,22,8624390166,197772927
1633992640,-185920,true,8433360892,22,8641655342,208294450
1633992695,-185920,true,8433360892,22,8645112523,211751631
1633992756,-185921,true,8432517641,22,8647706316,215188675
1633992786,-185915,true,8437578416,22,8649435944,211857528
1633992966,-185910,true,8441798049,22,8635608602,193810553
1633993005,-185910,true,8441798049,22,8632155222,190357173
1633993016,-185912,true,8440109943,22,8631292093,191182150
1633993080,-185906,true,8445175275,22,8627840439,182665164
1633993098,-185901,true,8449398707,22,8626977742,177579035
1633993198,-185901,true,8449398707,22,8623527813,174129106
1633993205,-185900,true,8450243647,22,8623527813,173284166
1633993245,-185894,true,8455315061,22,8621803366,166488305
1633993297,-185889,true,8459543564,22,8621803366,162259802
1633993332,-185889,true,8459543564,22,8621803366,162259802
1633993480,-185888,true,8460389518,22,8622665546,162276028
1633993499,-185882,true,8465467021,22,8620941272,155474251
1633993597,-185877,true,8469700602,22,8619217342,149516740
1633993614,-185876,true,8470547572,22,8619217342,148669770
1633993654,-185876,true,8470547572,22,8619217342,148669770
1633993721,-185872,true,8473936299,22,8614047621,140111322
1633993790,-185868,true,8477326382,22,8609741889,132415507
1633993918,-185868,true,8477326382,22,8601996995,124670613
1633994025,-185869,true,8476478734,22,8590822222,114343488
1633994063,-185865,true,8479869834,22,8587386753,107516919
1633994123,-185861,true,8483262291,22,8582236123,98973832
1633994162,-185860,true,8484110617,22,8580519934,96409317
1633994175,-185860,true,8484110617,22,8580519934,96409317
1633994229,-185854,true,8489202356,22,8580519934,91317578
1633994273,-185848,true,8494297151,22,8578804087,84506936
1633994362,-185847,true,8495146581,22,8575373423,80226842
1633994433,-185847,true,8495146581,22,8574515971,79369390
1633994462,-185839,true,8501945077,22,8574515971,72570894
1633994499,-185832,true,8507898225,22,8573658606,65760381
1633994734,-185827,true,8512153025,22,8607159483,95006458
1633995649,-185829,true,8510450849,22,8601996995,91546146
1633995720,-185821,true,8517261593,22,8606298853,89037260
1633995782,-185814,true,8523225465,22,8611463924,88238459
1633995801,-185811,true,8525782689,22,8610602864,84820175
1633996045,-185814,true,8523225465,22,8601996995,78771530
1633996097,-185809,true,8527487931,22,8603717480,76229549
1633996141,-185803,true,8532605703,22,8600276853,67671150
1633996188,-185800,true,8535165740,22,8597697286,62531546
1633996273,-185804,true,8531752527,22,8591681305,59928778
1633996318,-185799,true,8536019257,22,8589104316,53085059
1633996320,-185792,true,8541996263,22,8589104316,47108053
1633996400,-185788,true,8545413574,22,8587386753,41973179
1633996438,-185791,true,8542850463,22,8586528100,43677637
1633996557,-185785,true,8547977455,22,8580519934,32542479
1633996736,-185780,true,8552252298,22,8565946170,13693872
1633996867,-185776,true,8555673712,22,8565089661,9415949
1633996953,-185780,true,8552252298,22,8565089661,12837363
1633997004,-185776,true,8555673712,22,8568516210,12842498
1633997064,-185772,true,8559096495,22,8576230960,17134465
1633997225,-185766,true,8564233237,22,8592540473,28307236
1633997458,-185769,true,8561664481,22,8605438310,43773829
1633997694,-185764,true,8565946170,22,8620941272,54995102
1633997701,-185756,true,8572801325,22,8620079264,47277939
1633997786,-185750,true,8577946292,22,8620941272,42994980
1633997852,-185752,true,8576230960,22,8622665546,46434586
1633998033,-185748,true,8579661967,22,8603717480,24055513
1633998246,-185741,true,8585669533,22,8588245491,2575958
1633998291,-185735,true,8590822222,22,8584811052,-6011170
1633998442,-185740,true,8586528100,22,8555673712,-30854388
1633998591,-185742,true,8584811052,22,8526635267,-58175785
1633998839,-185742,true,8584811052,22,8491749372,-93061680
1633998902,-185736,true,8589963226,22,8484110617,-105852609
1633999174,-185740,true,8586528100,22,8488353521,-98174579
1633999187,-185743,true,8583952656,22,8488353521,-95599135
1633999271,-185742,true,8584811052,22,8498545149,-86265903
1633999427,-185736,true,8589963226,22,8520669009,-69294217
1633999430,-185737,true,8589104316,22,8520669009,-68435307
1633999492,-185739,true,8587386753,22,8529193513,-58193240
1633999530,-185738,true,8588245491,22,8533458963,-54786528
1633999552,-185732,true,8593399727,22,8536019257,-57380470
1633999573,-185735,true,8590822222,22,8537726546,-53095676
1633999592,-185737,true,8589104316,22,8539434177,-49670139
1633999692,-185737,true,8589104316,22,8547977455,-41126861
1633999763,-185732,true,8593399727,22,8554818231,-38581496
1633999887,-185735,true,8590822222,22,8555673712,-35148510
1633999951,-185739,true,8587386753,22,8552252298,-35134455
1633999995,-185741,true,8585669533,22,8552252298,-33417235
1634000034,-185738,true,8588245491,22,8552252298,-35993193
1634000089,-185741,true,8585669533,22,8552252298,-33417235
1634000121,-185744,true,8583094347,22,8553107524,-29986823
1634000162,-185747,true,8580519934,22,8548832252,-31687682
